상품번호,상품명,상품링크,깨진이미지수,전체이미지수,깨진이미지주소,응답코드
6980015,[크롭] 울터치 크롭 라운드 니트_민트,https://www.musinsa.com/products/6980015,5,10,https://cgraphy.diskn.com/KIIMUIR/2026/26FW/KBFMF0204MT/05.jpg,"의심(작음 1,003B)"
6980015,[크롭] 울터치 크롭 라운드 니트_민트,https://www.musinsa.com/products/6980015,5,10,https://cgraphy.diskn.com/KIIMUIR/2026/26FW/KBFMF0204MT/06.jpg,"의심(작음 1,003B)"
6979658,[크롭] 라이트 레이어드 롱슬리브_차콜,https://www.musinsa.com/products/6979658,5,10,https://cgraphy.diskn.com/KIIMUIR/2026/26FW/KBFMF0116CH/02.jpg,"의심(작음 1,003B)"
6979658,[크롭] 라이트 레이어드 롱슬리브_차콜,https://www.musinsa.com/products/6979658,5,10,https://cgraphy.diskn.com/KIIMUIR/2026/26FW/KBFMF0116CH/03.jpg,"의심(작음 1,003B)"
6979658,[크롭] 라이트 레이어드 롱슬리브_차콜,https://www.musinsa.com/products/6979658,5,10,https://cgraphy.diskn.com/KIIMUIR/2026/26FW/KBFMF0116CH/04.jpg,"의심(작음 1,003B)"
6979658,[크롭] 라이트 레이어드 롱슬리브_차콜,https://www.musinsa.com/products/6979658,5,10,https://cgraphy.diskn.com/KIIMUIR/2026/26FW/KBFMF0116CH/05.jpg,"의심(작음 1,003B)"
6979658,[크롭] 라이트 레이어드 롱슬리브_차콜,https://www.musinsa.com/products/6979658,5,10,https://cgraphy.diskn.com/KIIMUIR/2026/26FW/KBFMF0116CH/06.jpg,"의심(작음 1,003B)"
6980017,[크롭] 울터치 크롭 라운드 니트_멜란지그레이,https://www.musinsa.com/products/6980017,5,10,https://cgraphy.diskn.com/KIIMUIR/2026/26FW/KBFMF0204MG/02.jpg,"의심(작음 1,003B)"
6980017,[크롭] 울터치 크롭 라운드 니트_멜란지그레이,https://www.musinsa.com/products/6980017,5,10,https://cgraphy.diskn.com/KIIMUIR/2026/26FW/KBFMF0204MG/03.jpg,"의심(작음 1,003B)"
6980017,[크롭] 울터치 크롭 라운드 니트_멜란지그레이,https://www.musinsa.com/products/6980017,5,10,https://cgraphy.diskn.com/KIIMUIR/2026/26FW/KBFMF0204MG/04.jpg,"의심(작음 1,003B)"
6980017,[크롭] 울터치 크롭 라운드 니트_멜란지그레이,https://www.musinsa.com/products/6980017,5,10,https://cgraphy.diskn.com/KIIMUIR/2026/26FW/KBFMF0204MG/05.jpg,"의심(작음 1,003B)"
6980017,[크롭] 울터치 크롭 라운드 니트_멜란지그레이,https://www.musinsa.com/products/6980017,5,10,https://cgraphy.diskn.com/KIIMUIR/2026/26FW/KBFMF0204MG/06.jpg,"의심(작음 1,003B)"
6979621,[크롭] 체크 플란넬 후드 롱슬리브_네이비,https://www.musinsa.com/products/6979621,5,10,https://cgraphy.diskn.com/KIIMUIR/2026/26FW/KBFMF0112NY/02.jpg,"의심(작음 1,003B)"
6979621,[크롭] 체크 플란넬 후드 롱슬리브_네이비,https://www.musinsa.com/products/6979621,5,10,https://cgraphy.diskn.com/KIIMUIR/2026/26FW/KBFMF0112NY/03.jpg,"의심(작음 1,003B)"
6979621,[크롭] 체크 플란넬 후드 롱슬리브_네이비,https://www.musinsa.com/products/6979621,5,10,https://cgraphy.diskn.com/KIIMUIR/2026/26FW/KBFMF0112NY/04.jpg,"의심(작음 1,003B)"
